title,author,genre,tag index,age,lesson
넬슨 만델라,-,biography,"5, 3",8.5,"courage, wisdom"
간디,-,biography,5,8.5,courage
마틴 루터 킹,-,biography,"5, 3",8.5,"courage, wisdom"
레오나르도 다빈치,-,biography,"3, 16",8.5,"wisdom, creativity"
헬렌  켈러,-,biography,"3, 1",7.5,"wisdom, love "
에디슨 ,-,biography,"3, 5, 16",8.5,"wisdom, courage, creativity"
슈바이처,-,biography,"10, 14",8.5,"kindness, diligence"
윤동주,-,biography,"10, 5, 17",8.5,"kindness, courage, devotion"
벌거벗은 임금님,한스 크리스티안 안데르센,picture book,"3, 5",4.5,"wisdom, courage"
토끼와 자라,작자 미상,tradtional fairy tale,"3, 10",4.5,"wisdom, kindness"
혹부리영감,작자 미상,tradtional fairy tale,10,5.5,kindness
은혜 갚은 두꺼비,작자 미상,tradtional fairy tale,"7, 10",6.5,"goodness, kindness"
호두까기 인형,에른스트 테오도어 빌헬름 호프만,fantasy,"1, 7, 5, 2",6.5,"love, goodness, courage, adventure"
행복한 왕자,오스카 와일드,novel,"1, 13, 7",6.5,"love, condolence, goodness"
개구리 왕자,그림형제,fantasy,"1, 4, 15",4.5,"love, princess, mystery"
개미와 베짱이,이솝 우화,fable,"14, 3",4.5,"diligence, wisdom"
늑대와 일곱마리 아기 염소,그림형제,fable,"3, 5, 8",6.5,"wisdom, courage, family"
시골쥐와 도시쥐,이솝 우화,fable ,"3, 9",4.5,"wisdom, happiness"
거인의 정원,오스카 와일드,fantasy ,"9, 11",8.5,"happiness, friendship"
여우와 두루미,이솝 우화,fable ,"3, 11",6.5,"wisdom, friendship"
구두쇠 스크루지,찰스 디킨스,novel,"10, 9",8.5,"kindness, happiness"
훈장님과 꿀단지,작자 미상,tradtional fairy tale,"3, 5",4.5,"wisdom, courage"
빨간 부채 파란 부채,작자 미상,tradtional fairy tale,"3, 10",4.5,"wisdom, kindness"
젊어지는 샘물,작자 미상,tradtional fairy tale,10,5.5,kindness
돌멩이 수프,작자 미상,picture book,"10, 9",4.5,"kindness, happiness"
구둣방 할아버지와 꼬마 요정,그림형제,picture book,"14, 7",4.5,"diligence, goodness"
바보 이반,레프 톨스토이,novel,"14, 10",8.5,"diligence, kindness"
양치기 소년,이솝 우화,fable,10,6.5,kindness
사이 좋은 형제,작자 미상,tradtional fairy tale,"8, 9",4.5,"family, happiness"
